about;[56:2, 75:2]
absolute;[58:1]
actually;[77:1]
addition;[62:1]
adjust;[77:1]
adjusting;[65:1]
aerobic;[61:1]
after;[56:3]
again;[58:1]
akribos;[76:1]
all;[55:1, 56:1, 65:1, 77:1]
alrighty;[56:1]
although;[77:1]
amazing;[69:2, 77:1]
analog;[63:1, 79:1, 81:1]
and;[56:4, 59:1, 60:2, 63:1, 64:1, 65:1, 66:4, 67:1, 71:2, 72:2, 75:1, 76:2, 77:4, 78:1, 81:2]
angels;[69:1]
any;[77:1]
arm;[61:1]
armitron;[61:1, 75:1, 80:1]
army;[58:1, 73:1]
around;[59:1]
attention;[66:1]
automatic;[55:1, 56:1, 64:1, 79:1]
baby;[66:3]
background;[66:1]
bad;[58:1]
band;[57:1, 59:1, 78:1, 79:1, 81:1]
beautiful;[59:2, 60:2, 62:2, 68:1, 78:1]
because;[77:1]
been;[59:1, 62:1]
being;[75:1]
besides;[75:1]
better;[62:2]
bezel;[56:2, 80:1]
big;[68:1, 77:1]
bigger;[75:2]
bike;[72:1]
black;[57:1, 64:1, 75:1, 77:1, 80:1]
bling;[68:1]
blk;[80:1]
blue;[58:1, 66:1, 69:1, 72:1, 76:1, 78:1, 81:1]
bought;[63:1]
boy;[63:1]
boyfriend;[59:3]
bracelet;[56:1, 63:1, 71:1, 74:1, 75:1, 76:1]
brown;[59:1, 62:1, 79:1]
build;[58:1]
buildable;[63:1]
but;[56:1, 58:1, 59:1, 60:1, 61:1, 66:2, 68:1, 71:1, 72:1, 75:3, 77:2, 80:1, 81:2]
butterfly;[71:1]
calendar;[59:1]
camping;[67:1]
can;[59:1, 77:1]
canvas;[64:1]
car;[56:1]
careful;[56:1]
case;[63:1]
casio;[66:1, 67:1]
catching;[77:1]
cause;[55:1]
checked;[72:1]
chipping;[56:1]
chronograph;[60:1]
citizen;[69:3]
claims;[72:1]
clasp;[65:1]
classic;[68:1]
clearly;[55:1]
collection;[62:1]
color;[66:2, 77:1, 81:1]
comfortable;[77:1]
commander;[81:1]
comment;[59:1]
complimentary;[77:1]
compliments;[66:1]
condition;[69:1]
consisted;[72:1]
cool;[73:1]
could;[62:1, 77:1]
cousin;[63:1]
cover;[69:1]
cracked;[56:1, 73:1]
crystal;[56:1]
damaged;[69:1]
dark;[81:1]
date;[56:1, 59:1, 77:1]
daughter;[71:1]
day;[56:1, 73:1, 77:1]
days;[59:1]
decent;[56:1]
decorative;[77:1]
described;[78:1]
design;[64:1]
dial;[57:1, 59:1, 61:1, 62:1, 65:1, 66:1, 74:1, 75:5, 76:1, 80:1]
dials;[77:1]
diameter;[63:1]
did;[55:1]
didn;[59:1]
die;[72:1]
difficult;[65:1]
display;[81:1]
distinguish;[65:1]
diver;[56:1]
does;[58:1, 61:1, 65:1, 80:1]
doesn;[81:1]
don;[72:1, 75:1]
dots;[59:1]
dress;[69:1]
dressy;[77:2]
drive;[69:1]
durability;[59:1]
durable;[81:1]
easily;[77:1]
easy;[59:2, 61:1, 77:1, 80:2]
eco;[69:1]
else;[75:1]
enjoyed;[65:1]
enough;[59:1, 71:1]
especially;[66:1]
eternity;[82:1]
even;[59:1]
every;[77:1]
everyday;[80:1]
everyone;[66:1]
everything;[75:1]
excellent;[76:1]
exchange;[77:1]
executive;[79:1]
expected;[69:2]
expressed;[77:1]
extremely;[77:1]
eye;[81:1]
eyed;[77:1]
face;[75:5, 77:1]
fairly;[56:1]
fall;[65:1]
famous;[56:1]
feminine;[66:1]
few;[59:1]
fine;[56:1, 59:1]
finish;[77:1]
fit;[61:1, 77:1]
five;[57:1, 64:1, 67:1, 68:1, 70:1, 74:1, 76:1, 78:1, 79:1]
for;[56:2, 58:3, 59:1, 60:1, 63:1, 64:2, 66:2, 67:1, 71:2, 72:1, 77:4, 80:1]
forget;[77:1]
fossil;[78:1]
friend;[71:1]
from;[55:1, 69:2]
full;[70:1]
fun;[71:1]
functional;[77:1, 78:1]
furnish;[55:1]
gaining;[56:1]
georgia;[78:1]
getting;[75:1]
gift;[60:1, 69:1, 77:3]
girl;[63:1]
girls;[71:1]
glass;[56:1]
glitter;[66:2]
glow;[81:1]
glowed;[59:1]
goes;[66:1]
gold;[65:1, 74:1, 76:1]
good;[61:1, 74:1, 76:1]
gotten;[66:1]
gray;[63:1]
great;[59:1, 62:1, 70:1, 77:1]
green;[63:1]
had;[65:1]
hair;[77:1]
happen;[65:1]
hard;[75:1]
has;[56:1, 77:1]
have;[58:1, 59:1, 61:1, 62:1, 66:2, 75:2, 81:1]
healer;[56:1]
her;[71:1]
hero;[58:1]
high;[60:1]
hiking;[67:1]
honest;[77:1]
hood;[56:1]
hope;[65:1]
hot;[58:1]
hours;[77:1]
however;[56:1, 69:1]
huge;[81:1]
husband;[75:2, 79:1]
including;[59:1]
inexpensive;[71:1]
invicta;[56:1]
iron;[58:1]
ironkid;[72:1]
ironkids;[72:1]
ironman;[70:1, 72:1]
isn;[72:1]
item;[78:1]
its;[65:1]
japanese;[66:2]
jewelry;[68:1]
july;[66:1]
junk;[72:2]
just;[55:1, 64:1]
keep;[61:1]
keeps;[56:1]
kept;[71:1]
kid;[72:1]
kids;[63:1, 72:1]
kors;[60:1]
ladies;[68:1]
lady;[66:1]
lap;[70:1]
large;[61:1]
last;[72:1]
leaks;[72:2]
leather;[59:1, 62:1, 78:1, 79:1]
led;[58:1]
legend;[57:1, 81:1]
lego;[63:1]
lens;[73:1]
less;[56:1]
life;[77:1]
light;[66:2]
lightweight;[77:2]
like;[54:1, 56:1, 59:1, 65:3, 66:1, 75:2, 81:2]
liked;[71:1, 75:2]
link;[56:1, 63:1]
links;[77:1]
little;[58:1, 59:1, 68:1, 75:1]
long;[59:1]
look;[66:1]
looked;[59:2]
looking;[70:1]
looks;[56:1, 60:1, 62:2]
loose;[59:1]
lot;[71:1]
love;[57:1, 68:3, 77:2, 78:1]
loved;[55:1, 59:2, 60:1, 63:2]
loves;[79:1]
low;[56:1]
lucien;[62:1]
luck;[55:1]
luxury;[58:1]
made;[72:1, 75:1, 77:1]
make;[77:1]
makes;[66:1]
making;[66:1]
man;[58:1, 64:1, 77:1]
many;[66:2]
material;[80:1]
matte;[77:1]
mechanical;[56:1]
men;[55:1, 56:1, 58:1, 59:1, 62:1, 64:1, 67:1, 69:1, 73:1, 75:1, 76:1, 79:1, 81:1, 82:1]
mens;[77:1]
mention;[75:1]
mentioned;[59:1]
michael;[60:1]
military;[58:1, 73:1]
minifigure;[63:1]
model;[55:1, 66:2]
money;[56:1, 72:1]
monterey;[82:1]
more;[54:1, 60:1, 62:1, 66:1]
mother;[60:1]
motions;[55:1]
move;[77:1]
movement;[76:1]
much;[56:1, 66:1, 78:1]
multi;[77:1]
mush;[81:1]
myself;[58:1, 71:1]
name;[72:1]
nearly;[59:1]
neptune;[57:1]
new;[65:1]
nice;[61:1, 66:1, 77:1]
none;[66:1]
normal;[75:1]
not;[55:1, 58:1, 61:1, 62:1, 65:1, 75:1, 80:1]
now;[56:1]
numbers;[65:2]
nursing;[80:1]
off;[65:1]
official;[63:1]
one;[65:1, 66:1, 69:1, 71:1, 73:1]
only;[59:1, 81:1]
opinion;[77:2]
order;[58:1]
original;[79:1, 82:1]
other;[59:1]
out;[56:1, 66:1]
outop;[71:1]
outside;[59:1]
own;[77:1]
paid;[59:1, 66:1]
paint;[56:1]
pay;[66:1]
pcs;[71:1]
people;[66:1]
per;[56:1]
perfect;[67:1, 68:1, 77:1]
performs;[56:1]
person;[60:1]
piccard;[62:1]
picture;[62:1, 75:1]
pilot;[73:1]
planning;[69:1]
plastic;[63:1]
plated;[68:1]
pleased;[62:1]
pliable;[80:1]
pool;[72:1]
popping;[81:1]
pops;[66:1]
possible;[55:1]
predecessor;[65:1]
pretty;[66:1, 78:1, 80:2]
price;[59:1]
pro;[56:1]
probably;[66:1]
problem;[81:1]
problems;[59:1]
product;[69:2, 75:1, 76:1, 77:1]
profile;[56:1]
